fecha,ubicacion,departamento,cultivo,latitud,longitud,altitud_m,origen,factor_correccion_C,temp_aire_avg_C,temp_aire_max_C,temp_aire_min_C,humedad_relativa_pct,precipitacion_mm,radiacion_solar_MJm2,velocidad_viento_ms,pH_suelo,humedad_suelo_pct,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS2M
2007-01-01,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,nasa_power_corregido,7.307740304182513,26.157740304182514,30.227740304182515,22.497740304182514,76.04,0.46,20.13,0.82,6.521886831901773,29.463924513151728,26.157740304182514,30.227740304182515,22.497740304182514,76.04,0.46,20.13,0.82
2007-01-02,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,nasa_power_corregido,7.307740304182513,25.147740304182513,30.997740304182514,19.887740304182515,86.46,0.0,17.74,1.12,5.9840063575038025,28.589140676391423,25.147740304182513,30.997740304182514,19.887740304182515,86.46,0.0,17.74,1.12
2007-01-03,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,nasa_power_corregido,7.307740304182513,25.017740304182514,30.487740304182513,20.08774030418251,79.16,0.0,19.2,1.63,6.700180478322583,27.484773035513417,25.017740304182514,30.487740304182513,20.08774030418251,79.16,0.0,19.2,1.63
2007-01-04,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,nasa_power_corregido,7.307740304182513,26.897740304182513,31.63774030418251,22.637740304182515,85.69,0.0,17.36,0.69,6.776225886556486,21.545881323882558,26.897740304182513,31.63774030418251,22.637740304182515,85.69,0.0,17.36,0.69
2007-01-05,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,nasa_power_corregido,7.307740304182513,24.347740304182512,28.947740304182513,20.207740304182515,90.12,0.0,20.02,0.76,5.619585924538466,28.8804621459682,24.347740304182512,28.947740304182513,20.207740304182515,90.12,0.0,20.02,0.76
2007-01-06,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,nasa_power_corregido,7.307740304182513,25.04774030418251,30.747740304182514,19.927740304182514,81.54,0.0,20.07,1.13,5.879128197255073,19.182955820529642,25.04774030418251,30.747740304182514,19.927740304182514,81.54,0.0,20.07,1.13
2007-01-07,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,nasa_power_corregido,7.307740304182513,25.267740304182514,31.11774030418251,20.007740304182512,87.34,2.44,17.72,0.22,6.4511361612669145,25.616195091850784,25.267740304182514,31.11774030418251,20.007740304182512,87.34,2.44,17.72,0.22
2007-01-08,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,nasa_power_corregido,7.307740304182513,24.067740304182514,29.397740304182513,19.267740304182514,84.14,0.0,16.99,0.25,6.273502963062567,30.446026430113278,24.067740304182514,29.397740304182513,19.267740304182514,84.14,0.0,16.99,0.25
2007-01-09,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,nasa_power_corregido,7.307740304182513,24.977740304182515,30.61774030418251,19.90774030418251,80.99,1.65,19.27,1.08,6.393279536998285,34.608437678542145,24.977740304182515,30.61774030418251,19.90774030418251,80.99,1.65,19.27,1.08
2007-01-10,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,nasa_power_corregido,7.307740304182513,25.347740304182512,29.467740304182513,21.637740304182515,79.33,3.66,18.74,0.89,6.058782428970568,41.211080626409185,25.347740304182512,29.467740304182513,21.637740304182515,79.33,3.66,18.74,0.89
